id,first_name,username,active,start,end,type
569816271,Dilip,DrDilipKumar,Y,2018-06-24 20:12:55,No,private
546088852,Prashant,PrashantKumar94,Y,2018-06-25 15:06:37,No,private
-291904876,,NEW GROUP,Y,2018-06-25 15:07:58,No,group
